,model_name,interventions,edit,edit_dataset,compression,compression_dataset,unlearn,unlearn_method,wbits,sparsity_ratio,PPl edits unmasked,PPl QA,Rewrite accuracy,Generalization,wmdp_bio accuracy,wmdp_bio stderr,wmdp_cyber accuracy,wmdp_cyber stderr,mmlu,mmlu stderr
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,8,0.0,445.9559631347656,401.0690002441406,0.016666666666666666,0.01,0.7140612725844462,0.012669534956802384,0.44036235530951184,0.011139582928577158,0.6210653753026635,0.003806768559805202
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,4,0.0,472.2503967285156,459.2009887695313,0.020952380952380955,0.006666666666666666,0.6967792615868028,0.012887939922563436,0.4418721690991445,0.011143600696939489,0.6040450078336419,0.003864999699696821
0,Llama-3 (8b),['compress'],,zsre,GPTQ,c4,,,2,0.0,21747.458984375,22770.783203125,0.0,0.0030769230769230765,0.2474469756480754,0.012099462339615808,0.2652239557121288,0.009905906998783666,0.2304515026349523,0.003550269033282888
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,8,0.0,444.352294921875,400.779541015625,0.006666666666666666,0.01,0.7132757266300078,0.012679945800185027,0.4443885254151988,0.011150065004044208,0.6214214499359065,0.0038107979566010023
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,4,0.0,466.8762817382813,418.0739440917969,0.01282051282051282,0.0,0.6873527101335428,0.01299791232649237,0.4559637644690488,0.011176078835940717,0.5976356644352656,0.0038592456211002544
0,Llama-3 (8b),"['compress', 'edit']",MEMIT,zsre,AWQ,c4,,,2,0.0,1074956.375,1198751.125,0.0,0.0,0.2403770620581304,0.011981246158401224,0.24559637644690488,0.009658801441093866,0.2689075630252101,0.00370168377151732
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,4,0.0,466.8762817382813,418.0739440917969,0.01282051282051282,0.0,0.6873527101335428,0.01299791232649237,0.4559637644690488,0.011176078835940717,0.5976356644352656,0.0038592456211002544
0,Llama-3 (8b),"['compress', 'edit']",MEMIT,zsre,AWQ,c4,,,4,0.0,476.1156921386719,394.2955932617187,0.9426410256410256,0.8787948717948717,0.6472898664571878,0.01339722394620032,0.4559637644690488,0.011176078835940711,0.5717846460618146,0.003922003024598133
0,Llama-3 (8b),"['compress', 'edit']",MEMIT,zsre,AWQ,c4,,,8,0.0,514.498779296875,381.98638916015625,0.965,0.955,0.6920659858601729,0.012943717578228237,0.45193759436336184,0.011167722631928657,0.604614727246831,0.0038555830318278833
0,Llama-3 (8b),"['edit', 'compress']",MEMIT,zsre,AWQ,c4,,,8,0.0,485.2898254394531,375.4625549316406,0.99,0.97,0.7022780832678712,0.012820837777324694,0.4378459989934575,0.01113265431169076,0.6102407064520724,0.003840820937814995
0,Llama-3 (8b),"['edit', 'compress']",MEMIT,zsre,AWQ,c4,,,4,0.0,472.1679382324219,390.7336730957031,0.995,0.9412857142857144,0.6637863315003928,0.01324580263449934,0.4378459989934575,0.01113265431169076,0.5843896880786212,0.003903421831335203
0,Llama-3 (8b),"['edit', 'compress']",MEMIT,zsre,AWQ,c4,,,2,0.0,1011983.75,1110360.75,0.0,0.0,0.2403770620581304,0.011981246158401224,0.24559637644690488,0.009658801441093866,0.2689075630252101,0.00370168377151732
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,2,0.0,1020035.5625,1118428.25,0.0,0.0,0.2403770620581304,0.011981246158401224,0.24559637644690488,0.009658801441093866,0.2689075630252101,0.00370168377151732
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,2,0.0,1020035.5625,1118428.25,0.0,0.0,0.2403770620581304,0.011981246158401224,0.24559637644690488,0.009658801441093866,0.2689075630252101,0.00370168377151732
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,8,0.0,444.352294921875,400.779541015625,0.006666666666666666,0.01,0.7132757266300078,0.012679945800185027,0.4443885254151988,0.011150065004044208,0.6214214499359065,0.0038107979566010023
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,4,0.0,466.8762817382813,418.0739440917969,0.01282051282051282,0.0,0.6873527101335428,0.01299791232649237,0.4559637644690488,0.011176078835940717,0.5976356644352656,0.0038592456211002544
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,2,0.0,1020035.5625,1118428.25,0.0,0.0,0.2403770620581304,0.011981246158401224,0.24559637644690488,0.009658801441093866,0.2689075630252101,0.00370168377151732
0,Llama-3 (8b),['compress'],,zsre,AWQ,c4,,,8,0.0,444.352294921875,400.779541015625,0.006666666666666666,0.01,0.7132757266300078,0.012679945800185027,0.4443885254151988,0.011150065004044208,0.6214214499359065,0.0038107979566010023
