,tag,_timestamp,interventions,edit,unlearn,compression,model_name,edit_dataset,number_of_edits,wbits,compression_dataset,sparsity_ratio,qa_question_count_limit,mmlu accuracy,wmdp_bio accuracy,wmdp_cyber accuracy,PPL,PPL edits,PPl QA,Generalization,FLOPs,Success recall,Generalization recall,Locality,Average bits,Rewrite accuracy,PPl edits unmasked,Local recall,Latency,date
105,SparseGPT0.75%-to-lora,1716344506.8446548,"['compress', 'edit']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.75,,0.23557897735365332,0.2474469756480754,0.26472068444891794,116.02538299560548,38932.8046875,3157.311279296875,0.057888888888888886,446.67 GFLOPS,0.04322222222222222,0.05655555555555556,0.02707826086956522,4.749975855820454,0.04633333333333334,2341.310791015625,0.024972222222222226,-1.0,2024-05-22 02:21:46.844654799
103,SparseGPT0.55%-to-lora,1716344427.639491,"['compress', 'edit']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.55,,0.4259364762854294,0.5027494108405341,0.3351786612984399,12.102202415466309,14318.33203125,1478.43505859375,0.36233766233766235,804.02 GFLOPS,0.6266666666666666,0.35888888888888887,0.030426494269205264,7.749984664985766,0.6266666666666666,1123.241943359375,0.03001068376068376,-1.0,2024-05-22 02:20:27.639491081
106,SparseGPT0.35%-to-lora,1716344395.6681874,"['compress', 'edit']",Lora,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.35,,0.5699330579689503,0.6559308719560094,0.3955712128837443,9.215635299682615,18234.287109375,2064.167236328125,0.4386324786324786,1.16 TFLOPS,0.7680000000000001,0.4388888888888889,0.011855929178268007,10.74999058131988,0.7680000000000001,2290.002197265625,0.011132478632478631,-1.0,2024-05-22 02:19:55.668187380
135,GPTQ3bit-to-ft,1716344135.601131,"['compress', 'edit']",Fine-tune,,GPTQ,Llama-3 (8b),zsre,50,3,c4,0.0,,0.4163936761145136,0.5263157894736842,0.35027679919476595,10.431395530700684,29672.626953125,856.2191162109375,0.07133333333333333,-1,0.1218888888888889,0.07133333333333333,0.00803921568627451,3.25,0.1218888888888889,795.7818603515625,0.007788461538461538,87.7787442779541,2024-05-22 02:15:35.601130962
60,Wanda0.65%-to-memit,1716343988.033207,"['compress', 'edit']",MEMIT,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.65,,0.2294544936618715,0.2513747054202671,0.2652239557121288,42.28285598754883,47362.17578125,1344.5535888671875,0.026666666666666665,759.97 GFLOPS,0.028888888888888888,0.026666666666666665,0.012025153495741733,6.251183143028846,0.028888888888888888,1136.307373046875,0.01139957264957265,-1.0,2024-05-22 02:13:08.033206939
61,Wanda0.45%-to-memit,1716343911.0761802,"['compress', 'edit']",MEMIT,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.45,,0.5106822389972938,0.5907305577376276,0.38349270256668344,7.53963565826416,13913.3310546875,507.8712158203125,0.5272222222222223,1.12 TFLOPS,0.6038888888888888,0.5272222222222223,0.034836601307189546,9.250591571514423,0.6036324786324786,445.8709411621094,0.03536538461538462,-1.0,2024-05-22 02:11:51.076180220
62,Wanda0.25%-to-memit,1716343773.9666023,"['compress', 'edit']",MEMIT,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.25,,0.5714285714285714,0.6527886881382561,0.4338198288877705,5.871074199676514,15609.736328125,391.4973754882813,0.9185555555555556,1.47 TFLOPS,0.9483333333333336,0.9185555555555556,0.037386183147093965,12.25,0.9483333333333336,457.02484130859375,0.038014957264957266,-1.0,2024-05-22 02:09:33.966602325
79,Wanda0.65%-to-ft,1716342885.2242968,"['compress', 'edit']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.65,,0.2296681384418174,0.24901806755695208,0.2657272269753397,41.628448486328125,31268.681640625,1206.6463623046875,0.18755555555555556,760 GFLOPS,0.4415555555555556,0.18755555555555556,0.031467586889667123,6.251183143028846,0.44226984126984126,958.0149536132812,0.031399572649572646,-1.0,2024-05-22 01:54:45.224296808
81,Wanda0.25%-to-ft,1716342788.1783414,"['compress', 'edit']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.25,,0.5999145420880216,0.6849960722702279,0.42979365878208353,5.866373062133789,35204.46875,401.6659240722656,0.7322222222222223,1.47 TFLOPS,0.99,0.7322222222222223,0.05976395173453997,12.25,0.99,490.8740234375,0.06020512820512819,-1.0,2024-05-22 01:53:08.178341389
80,Wanda0.45%-to-ft,1716342757.128888,"['compress', 'edit']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.45,,0.5229312063808574,0.598586017282011,0.3839959738298943,7.517215251922607,23332.865234375,510.3130798339844,0.623,1.12 TFLOPS,0.9388888888888888,0.6216666666666666,0.04997254901960784,9.250591571514423,0.9388888888888888,480.4463195800781,0.05012179487179487,-1.0,2024-05-22 01:52:37.128887892
147,SparseGPT0.75%-to-ft,1716341794.799863,"['compress', 'edit']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.75,,0.2307363623415468,0.2403770620581304,0.2667337695017615,96.33001708984376,35128.57421875,4255.30517578125,0.1661111111111111,581.16 GFLOPS,0.5912222222222222,0.1642222222222222,0.04826334776334777,4.7499755183951216,0.5955396825396826,2826.004150390625,0.04479517704517704,-1.0,2024-05-22 01:36:34.799863100
148,SparseGPT0.55%-to-ft,1716341689.547303,"['compress', 'edit']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.55,,0.44965104685942175,0.5404556166535742,0.35480624056366383,10.292109489440918,23920.47265625,788.0641479492188,0.5584444444444444,938.5 GFLOPS,0.9466666666666664,0.5584444444444444,0.022020697167755992,7.749984286725521,0.945897435897436,671.3756713867188,0.021927350427350424,-1.0,2024-05-22 01:34:49.547302961
149,SparseGPT0.35%-to-ft,1716341599.4947257,"['compress', 'edit']",Fine-tune,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.35,,0.5793334282865689,0.6567164179104478,0.43080020130850527,6.40017032623291,31342.185546875,470.1031799316406,0.7405555555555555,1.3 TFLOPS,0.97,0.7405555555555555,0.06964140271493212,10.749990340608816,0.972,532.8465576171875,0.06951068376068376,-1.0,2024-05-22 01:33:19.494725704
107,Wanda0.55%-to-lora,1716341376.0303977,"['compress', 'edit']",Lora,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.55,,0.34795613160518446,0.34642576590730556,0.31353799698037244,15.013973236083984,13369.2607421875,1750.4029541015625,0.35444444444444445,804.3 GFLOPS,0.815,0.35444444444444445,0.013916301563360389,7.7523662860576925,0.8149450549450549,1344.0369873046875,0.013066239316239316,-1.0,2024-05-22 01:29:36.030397654
108,Wanda0.75%-to-lora,1716341329.3356905,"['compress', 'edit']",Lora,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.75,,0.22902720410197977,0.24823252160251377,0.2637141419224962,318.0621032714844,55136.8203125,2968.273193359375,0.07233333333333333,446.68 GFLOPS,0.05322222222222222,0.059222222222222225,0.00781501533419692,4.75,0.06277777777777778,2473.671875,0.006399572649572649,-1.0,2024-05-22 01:28:49.335690498
109,Wanda0.35%-to-lora,1716340969.90444,"['compress', 'edit']",Lora,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.35,,0.5739210938612733,0.6394344069128044,0.4001006542526422,7.976736068725586,31849.69140625,1217.7459716796875,0.3958888888888889,1.16 TFLOPS,0.8966666666666667,0.3938888888888888,0.022670401493930903,10.75177471454327,0.8958974358974359,1379.5909423828125,0.022809829059829066,-1.0,2024-05-22 01:22:49.904439926
165,GPTQ3bit-to-memit,1716340854.131253,"['compress', 'edit']",MEMIT,,GPTQ,Llama-3 (8b),zsre,50,3,c4,0.0,,0.4154678820680815,0.5168892380204242,0.3220936084549572,10.594708442687988,28353.0,989.0479125976562,0.048,-1,0.05288888888888889,0.048,0.007911010558069382,3.25,0.05288888888888889,814.9105224609375,0.007788461538461538,88.1913681488037,2024-05-22 01:20:54.131253004
136,AWQ6bit-to-ft,1716339698.666262,"['compress', 'edit']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,6,c4,0.0,,0.6023358495940749,0.6842105263157895,0.4358329139406139,5.613223075866699,58369.03125,429.6734619140625,0.8394117647058823,-1,0.995,0.8388888888888889,0.15233062759153845,6.25,0.995,660.1486206054688,0.15251068376068375,90.89419568634034,2024-05-22 01:01:38.666261911
137,AWQ5bit-to-ft,1716339534.4337077,"['compress', 'edit']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,5,c4,0.0,,0.5967098703888335,0.6747839748625295,0.4247609461499749,5.677060604095459,50441.87890625,439.3912048339844,0.8383333333333334,-1,0.995,0.8383333333333334,0.13031481481481483,5.25,0.995,641.3506469726562,0.1300940170940171,90.74342391967774,2024-05-22 00:58:54.433707714
138,AWQ3bit-to-ft,1716339509.8413644,"['compress', 'edit']",Fine-tune,,AWQ,Llama-3 (8b),zsre,50,3,c4,0.0,,0.5127474718701039,0.600942655145326,0.40412682435832914,7.562892436981201,16993.77734375,648.6204833984375,0.7436324786324786,-1,1.0,0.7438888888888888,0.06245916828269769,3.25,1.0,822.4443359375,0.0605583028083028,90.41197177124025,2024-05-22 00:58:29.841364384
184,SparseGPT0.35%-to-memit,1716338848.5747976,"['compress', 'edit']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.35,,0.5727104401082467,0.6606441476826395,0.4207347760442879,6.388141632080078,14375.1259765625,429.1386413574219,0.7533333333333334,1.3 TFLOPS,0.846,0.7533333333333334,0.02519502424625765,10.749990338459613,0.8489437229437229,435.9395751953125,0.025726495726495727,-1.0,2024-05-22 00:47:28.574797630
187,SparseGPT0.75%-to-memit,1716338842.5589888,"['compress', 'edit']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.75,,0.23536533257370745,0.24194815396700703,0.2551585304479114,3646.3916015625,143379.0625,8914.310546875,0.005714285714285715,581.16 GFLOPS,0.024,0.004,0.04184239028944911,4.749975496903062,0.025,6655.474609375,0.034867826617826614,-1.0,2024-05-22 00:47:22.558988810
173,SparseGPT0.55%-to-memit,1716338837.9755883,"['compress', 'edit']",MEMIT,,SparseGPT,Llama-3 (8b),zsre,50,4,c4,0.55,,0.4232303090727816,0.5121759622937941,0.3507800704579768,10.366116523742676,15438.4013671875,781.534423828125,0.20888888888888885,938.5 GFLOPS,0.3055555555555555,0.20888888888888885,0.010335252982311806,7.749984280277904,0.3055555555555555,632.9227294921875,0.01001068376068376,-1.0,2024-05-22 00:47:17.975588322
150,Wanda0.75%-to-ft,1716338450.5505822,"['compress', 'edit']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.75,,0.22916963395527704,0.25530243519245877,0.2727730246602919,236.10853576660156,48355.71875,2687.748291015625,0.06466666666666668,581.16 GFLOPS,0.03822222222222222,0.05422222222222223,0.015215907415597816,4.75,0.04688888888888889,2336.585205078125,0.012899572649572647,-1.0,2024-05-22 00:40:50.550582170
151,Wanda0.55%-to-ft,1716338391.5106866,"['compress', 'edit']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.55,,0.3578550064093434,0.3644933228593873,0.31957725213890287,12.235007286071776,21660.21484375,670.020263671875,0.4012222222222222,938.79 GFLOPS,0.8338888888888889,0.4012222222222222,0.00987363834422658,7.7523662860576925,0.8338888888888889,586.3238525390625,0.010149572649572648,-1.0,2024-05-22 00:39:51.510686636
152,Wanda0.35%-to-ft,1716338352.087546,"['compress', 'edit']",Fine-tune,,Wanda,Llama-3 (8b),zsre,50,4,c4,0.35,,0.5783364193134881,0.6575019638648861,0.40915953699043783,6.326399803161621,25917.408203125,427.221435546875,0.7391666666666665,1.3 TFLOPS,0.9594444444444444,0.7383333333333333,0.03660403050108932,10.75177471454327,0.9586752136752136,440.5616455078125,0.0364551282051282,-1.0,2024-05-22 00:39:12.087546110
